county_fips,county_name,state_abbreviation,office_type,local_title,category,seats,term_years,first_name,last_name,party,email,phone,appointment_type,term_start,term_end,first_seen_at,last_verified_at,confidence_score
53001,Adams County,WA,Assessor,Assessor,administrative,1,4,Veronica,Rodriquez,,,(509) 659-3203,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.85
53001,Adams County,WA,Auditor,Auditor,administrative,1,4,Heidi,Hunt,,,(509) 659-3247,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.85
53001,Adams County,WA,Clerk,Clerk,administrative,1,4,Katie,Sloan,,,(509) 659-3257,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.85
53001,Adams County,WA,Coroner,Coroner,administrative,1,4,Tiffany,Cutfort,,,(509) 659-3219,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.85
53001,Adams County,WA,Treasurer,Treasurer,administrative,1,4,Kayla,Meise,,,(509) 659-3230,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.85
53001,Adams County,WA,Sheriff,Sheriff,executive,1,4,Dale,Wagner,,,(509) 659-1122,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.85
53001,Adams County,WA,Prosecuting Attorney,Prosecuting Attorney,judicial,1,4,Randy J.,Flyckt,,,(509) 659-3219,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.85
53001,Adams County,WA,Commissioner,Commissioner,legislative,3,4,Dan,Blankenship,,,,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.72
53001,Adams County,WA,Commissioner,Commissioner,legislative,3,4,Mike,Garza,,,,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.72
53001,Adams County,WA,Commissioner,Commissioner,legislative,3,4,Jay,Weise,,,,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.72
53003,Asotin County,WA,Assessor,Assessor,administrative,1,4,Jenny,Rynearson,,,(509) 243-2016,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.85
53003,Asotin County,WA,Auditor,Auditor,administrative,1,4,Darla,McKay,,,(509) 243-2084,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.85
53003,Asotin County,WA,Clerk,Clerk,administrative,1,4,McKenzie,Campbell,,,(509) 243-2081,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.85
53003,Asotin County,WA,Coroner,Coroner,administrative,1,4,Lisa,Webber,,,(509) 243-2061,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.85
53003,Asotin County,WA,Treasurer,Treasurer,administrative,1,4,Holly,Steiner,,,(509) 243-2010,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.85
53003,Asotin County,WA,Sheriff,Sheriff,executive,1,4,John,Hilderbrand,,,(509) 243-4717,elected,,,2026-05-20T20:22:44.622086+00:00,2026-05-20T20:22:44.622086+00:00,0.85
